"job_id","sentence"
"JFD22541469","Je signaleert kansen vindt het leuk om mee te denken met klantvragen en bent in staat om deze zelfstandig op te pakken"
"JFD22541469","Je bent communicatief sterk en bent aanspreekpunt voor de junior en medior medewerkers van de afdeling"
"JFD22541469","Je draagt bij aan het realiseren van een klantgerichte resultaatgericht en kwaliteitgerichte afdeling"
"JFD22541469","Je komt pro actief met ideeen over hoe het gezamenlijke resultaat kan worden verbeterd"
"JFD22541469","HBO werk en denkniveau"
"JFD22541469","Minimaal 5 jaar ervaring als .NET developer"
"JFD22541469","Kennis van SharePoint is een pre"
"JFD22541469","Kennis van beveiliging OWASP top 10"
"JFD22541469","Een goede beheersing van de Nederlandse taal in woord en schrift"
"JFD22541469","Een flexibele en zelfstandige werkhouding"
"JFD22542816","HBO WO opgeleide Beta s informatici die technisch overzicht hebben die stressbestendig zijn en energie krijgen van dingen regelen en mensen bij elkaar krijgen"
"JFD22542816","Maar ook iemand die het leuk vindt om technische puzzels op te lossen en de boel draaiende te houden"
"JFD22542816","Je bent in staat om de diepte in te duiken maar ook om overzicht te houden in het grote geheel"
"JFD22542816","Het is in deze rol belangrijk dat je een technische interesse hebt en een beetje kan programmeren hoewel je dat niet veel doet"
"JFD22545109","Belangrijkste is dat je enige jaren ervaring hebt als webdeveloper en een echte techneut bent die graag met de techniek bezig is"
"JFD22545109","Verder is het voor deze functie niet heel erg dat je als .NET ontwikkelaar geen specifieke ervaring met dit soort systemen GIS hebt zolang je maar ervaring hebt als .NET programmeur en interesse hebt in GIS systemen dan geloven zij dat je de rest kunt leren"
"JFD22545131","Dit betekent dat je je onder meer goed moet kunnen verplaatsen in de klant en de nodige analytische uitdaging krijgt"
"JFD22545131","De organisatie is op zoek naar iemand die net klaar is met zijn haar HBO of WO opleiding of pas 1 of 2 jaar ervaring heeft als .NET ontwikkelaar"
"JFD22545152","Het belangrijkste is in ieder geval dat je kennis en of ervaring hebt van .NET C of VB"
"JFD22545152","Daarbij is het een pre wanneer je een IT gerelateerde HBO opleiding gevolgd hebt"
"JFD22545160","HBO WO opleiding"
"JFD22545160","Ruime kennis en ervaring met ASP.NET en MVC"
"JFD22545160","Visual Studio"
"JFD22545160","JavaScript CSS HTML"
"JFD23003044","Ervaring met High Trafiic sites is een pre"
"JFD23003044","Dotnet minimaal 2 a 3 jaar ervaring"
"JFD23003044","Sitecore ervaring is een pre"
"JFD23003044","ASP.NET WebForms"
"JFD23003044","ASP.NET MVC C SQL"
"JFD23003044","Scrum Methodiek"
"JFD23003139","Kennis van netwerkdevices Cisco Huawei Avocent Tippingpoint Elproma"
"JFD23003139","Cramer kennis"
"JFD23003139","CCNP Certified"
"JFD23003139","CCNA Certified"
"JFD23003139","NIM Cramer kennis of kennis van andere netwerkadministratie programma s een pre"
